subject	parcel	z_value	domain	contrast_name	dtype
13	LANG	1.2918847	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	LANG	1.1752809	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	LANG	1.2514839	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	FPN-B	-0.28604895	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	FPN-B	0.2040034	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	FPN-B	0.39948115	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	FPN-B	0.3178059	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	FPN-B	0.7151415	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	FPN-B	0.44182888	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	FPN-B	0.31350136	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	FPN-B	0.048320133	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	FPN-B	0.9590365	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	FPN-B	-0.11075661	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	FPN-B	0.106956705	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	FPN-A	-1.8952953	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	FPN-A	-1.0923779	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	FPN-A	-0.8609835	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	FPN-A	-1.5702672	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	FPN-A	-1.1478977	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	FPN-A	-0.9800897	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	FPN-A	-1.0656565	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	FPN-A	-1.9647518	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	FPN-A	-1.8895376	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	FPN-A	-1.3718196	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	FPN-A	-1.3035007	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	dATN-A	-1.3351772	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	dATN-A	-1.1739587	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	dATN-A	-1.6921984	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	dATN-A	-2.2713633	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	dATN-A	-1.8032422	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	dATN-A	-1.1472311	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	dATN-A	-1.2091204	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	dATN-A	-1.4069797	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	dATN-A	-2.258032	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	dATN-A	-1.5186568	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	dATN-A	-1.1691648	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	VIS-C	-0.09359225	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	VIS-C	-0.27745974	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	VIS-C	-0.27127245	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	VIS-C	-0.10712394	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	VIS-C	-0.19516845	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	VIS-C	-0.46295953	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	VIS-C	-0.25779164	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
12	VIS-C	-0.16482471	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
13	VIS-C	-0.61032444	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
14	VIS-C	-0.24637096	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
15	VIS-C	0.0013545883	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
2	SAL/PMN	-0.771033	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
3	SAL/PMN	-0.09238463	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
4	SAL/PMN	-0.3016497	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
6	SAL/PMN	-0.9129042	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
7	SAL/PMN	-0.026779272	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
8	SAL/PMN	-0.44765005	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
9	SAL/PMN	-0.12621658	Theory_of_Mind	EMOmPHYS+BELmPHO	fusion
